id,name,address,street,street2,city,state,zip,phone,type,notes,url,source,lon,lat,marker-symbol,marker-color
78,Jack's Abby Brewing,81 Morton St Framingham MA 01702-7153,81 Morton St,,Framingham,MA,01702-7153,(508) 872-0900,Micro,,www.jacksabbybrewing.com,Brewers Association,-71.401588,42.278782,beer,#07ce07
79,John Harvards Brew House - Framingham,1 Worcester Rd Framingham MA 01701-5359,1 Worcester Rd,,Framingham,MA,01701-5359,(508) 875-2337,Brewpub,,www.johnharvards.com,Brewers Association,-71.393806,42.299072,beer,#dbb10c
80,John Harvards Brew House - Harvard Square,33 Dunster St Cambridge MA 02138-5002,33 Dunster St,,Cambridge,MA,02138-5002,(617) 868-3585,Brewpub,,www.johnharvards.com,Brewers Association,-71.119324,42.372429,beer,#dbb10c
81,John Harvards Brew House Inc. (Corp),55 Cambridge Pkwy  Cambridge MA 02142-1218,55 Cambridge Pkwy,Ste 200,Cambridge,MA,02142-1218,(617) 499-2700,Other,,www.johnharvards.com,Brewers Association,-71.07579,42.365848,beer,#dbb10c
82,Kretschmann Brewing Company,294 Thompson Rd Webster MA 01570-1507,294 Thompson Rd,,Webster,MA,01570-1507,(508) 671-7711,Micro,,www.kbcbrewing.com,Brewers Association,-71.855347,42.032982,beer,#07ce07
83,Lamplighter Brewing Co.,Cambridge MA 02139,,,Cambridge,MA,02139,,Planning,,,Brewers Association,-71.10602,42.3668,beer,#db1e0c
84,Lefty's Brewing Co,301 Wells St Greenfield MA 01301,301 Wells St,,Greenfield,MA,01301,(413) 475-3449,Micro,,www.leftysbrew.com,BCCA,-72.606399,42.601551,beer,#07ce07
85,Mashjuga Brewing Co,Westport MA 02790,,,Westport,MA,02790,,Contract,Brewed at Buzzard's Bay Brewing,www.powermarketingusa.com/mashjuga,RateBeer,-71.082371,41.599176,beer,#0c49db
86,Mayflower Brewing Co,12 Resnik Rd Plymouth MA 02360-7245,12 Resnik Rd,Ste 3,Plymouth,MA,02360-7245,(508) 746-2674,Micro,,www.mayflowerbrewing.com,Brewers Association,-70.710991,41.949581,beer,#07ce07
87,Merrimack Ales,Westford MA 01886,,,Westford,MA,01886,,Planning,,,Brewers Association,-71.43709,42.58266,beer,#db1e0c
88,Mystic Brewery,174 Williams St Chelsea MA 02150-3804,174 Williams St,,Chelsea,MA,02150-3804,(617) 800-9023,Micro,,www.mystic-brewery.com,Brewers Association,-71.04364,42.391422,beer,#07ce07
89,Nantasket Brewing Company,Roslindale MA 02131,,,Roslindale,MA,02131,,Planning,,,Brewers Association,-71.13136,42.28664,beer,#db1e0c
90,Nashoba Valley Winery and Brewery,100 Wattaquadock Hill Rd Bolton MA 01740-1238,100 Wattaquadock Hill Rd,,Bolton,MA,01740-1238,(978) 779-5521,Micro,,www.nashobawinery.com,Brewers Association,-71.616226,42.430611,beer,#07ce07
91,Naukabout Beer Co,Holyoke MA 01040,,C/o Paper City Brewery,Holyoke,MA,01040,,Contract,Brewed at Paper City Brewery,www.naukabout.com,Brewers Association,-72.60744,42.20697,beer,#0c49db
92,Navigation Brewing Co,45 Meadowcroft St Lowell MA ,45 Meadowcroft St,Unit #1,Lowell,MA,01852,,Micro,,www.navigationbrewing.com,Facebook,-71.303163,42.626561,beer,#07ce07
93,Newburyport Brewing Co,4 New Pasture Rd Newburyport MA 01950-4040,4 New Pasture Rd,,Newburyport,MA,01950-4040,,Micro,,www.nbptbrewing.com,Brewers Association,-70.886574,42.804531,beer,#07ce07
94,"Night Shift Brewing, Inc",3 Charlton St Everett MA 02149-2405,3 Charlton St,Unit 9,Everett,MA,02149-2405,(617) 294-4233,Micro,,www.nightshiftbrewing.com,Brewers Association,-71.063248,42.399826,beer,#07ce07
95,Northampton Brewery,11 Brewster Ct Northampton MA 01060-3801,11 Brewster Ct,,Northampton,MA,01060-3801,(413) 584-9903,Brewpub,,www.northamptonbrewery.com,Brewers Association,-72.630249,42.317421,beer,#dbb10c
96,Notch Brewing,Ipswich MA 01938-2044,,,Ipswich,MA,01938-2044,(978) 853-9138,Contract,Brewed at Ipswich Ale Brewery,www.notchbrewing.com,Brewers Association,-70.84391,42.67271,beer,#0c49db
97,Nowhere Brewing Company,25 Dearborn St Salem MA 01970-2448,25 Dearborn St,,Salem,MA,01970-2448,(978) 594-1461,Planning,,,Brewers Association,-70.900864,42.52961,beer,#db1e0c
98,Offshore Ale Co,30 Kennebec Ave Oak Bluffs MA 02557,30 Kennebec Ave,,Oak Bluffs,MA,02557,(508) 693-2626,Brewpub,,www.offshoreale.com,Brewers Association,-70.557251,41.456188,beer,#dbb10c
99,Opa Opa Steakhouse and Brewery,169 College Hwy Southampton MA 01073-0679,169 College Hwy,,Southampton,MA,01073-0679,(413) 527-0808,Brewpub,,www.opaopasteakhousebrewery.com,Brewers Association,-72.724609,42.23584,beer,#dbb10c
100,Paper City Brewery Co Inc,108 Cabot St Holyoke MA 01040-6061,108 Cabot St,,Holyoke,MA,01040-6061,(413) 535-1588,Micro,,www.papercity.com,Brewers Association,-72.61042,42.201172,beer,#07ce07
101,People's Pint / Franklin County Brewing Co,76 Hope St Greenfield MA 01301-3573,76 Hope St,,Greenfield,MA,01301-3573,(413) 773-0333,Brewpub,,www.thepeoplespint.com,Brewers Association,-72.599533,42.5844,beer,#dbb10c
102,Percival Brewing Co,Dorchester MA 02122,,,Dorchester,MA,02122,(781) 664-4705,Contract,Brewed at Paper City Brewery,www.percivalbeercompany.com,BeerAdvocate,-71.042157,42.291412,beer,#0c49db
103,Pioneer Brewing,195 Arnold Rd Fiskdale MA 01518,195 Arnold Rd,,Fiskdale,MA,01518,(508) 347-7500,Micro,,www.hylandbrew.com,Brewers Association,-72.107056,42.137096,beer,#07ce07
104,Portico Brewing Co,Cambridge MA 02138-2035,,,Cambridge,MA,02138-2035,,Contract,Brewed at Watch City Brewing Co,www.porticobrewing.com,Brewers Association,-71.132751,42.380291,beer,#0c49db
105,Pretty Things Beer & Ale Project,17 Seagrave Rd Cambridge MA 02140-1640,17 Seagrave Rd,,Cambridge,MA,02140-1640,(617) 682-6419,Micro,,www.prettythingsbeertoday.com,Brewers Association,-71.14016,42.3993,beer,#07ce07
106,Private Stock Brewing Co,14 York Rd Winchester MA 01890,14 York Rd,,Winchester,MA,01890,,Contract,Brewed at F.X. Matt Brewing Co,www.privatestockbrewing.com,RateBeer,-71.144318,42.452751,beer,#0c49db
107,Rapscallion Ales,200 Hanscom Dr Bedford MA 01730-2603,200 Hanscom Dr,,Bedford,MA,01730-2603,(617) 877-0164,Contract,Brewed at Paper City Brewery,www.drinkrapscallion.com,Brewers Association,-71.291252,42.462978,beer,#0c49db
108,Riverwalk Brewing Co,3 Graf Rd Newburyport MA 01950,3 Graf Rd,Unit 15,Newburyport,MA,01950,(978) 499-2337,Micro,,www.riverwalkbrewing.com,Mass.gov,-70.882083,42.806408,beer,#07ce07
109,Rock Bottom Brewery - Stuart Street,115 Stuart St Boston MA 02116-5609,115 Stuart St,,Boston,MA,02116-5609,(617) 742-2739,Brewpub,Brewed at Rock Bottom - Pittsburgh,www.rockbottom.com/boston,Brewers Association,-71.065353,42.351227,beer,#dbb10c
110,Scantic River Brewery,25 Mill Rd Hampden MA 01036-9624,25 Mill Rd,,Hampden,MA,01036-9624,(413) 537-3427,Micro,,www.scanticriverbrewery.com,Mass.gov,-72.441603,42.052375,beer,#07ce07
111,Sherwood Forest Brewers,Northborough MA 01532-4005,,PO Box 1005,Northborough,MA,01532-4005,(508) 466-8082,Contract,Brewed at Ipswich Ale Brewery,www.sherwoodbrewers.com,Brewers Association,-71.655418,42.310108,beer,#0c49db
112,Slesar Bros Brewing Co - Boston Beer Works,112 Canal St Boston MA 02114-1805,112 Canal St,,Boston,MA,02114-1805,(617) 896-2337,Brewpub,,www.beerworks.net,Brewers Association,-71.060226,42.364456,beer,#dbb10c
113,Slesar Bros Brewing Co - Boston Beer Works,61 Brookline Ave Boston MA 02215-3406,61 Brookline Ave,,Boston,MA,02215-3406,(617) 536-2337,Brewpub,,www.beerworks.net,Brewers Association,-71.099129,42.34721,beer,#dbb10c
114,Slesar Bros Brewing Co - Boston Beer Works,345 Cochituate Rd Framingham MA 01701,345 Cochituate Rd,,Framingham,MA,01701,(617) 896-2300,Brewpub,,www.beerworks.net,Brewers Association,-71.400131,42.30209,beer,#dbb10c
115,Slesar Bros Brewing Co - Corp,110 Canal St Boston MA 02114-1805,110 Canal St,,Boston,MA,02114-1805,(617) 896-2300,Brewpub,,www.beerworks.net,Brewers Association,-71.06028,42.36438,beer,#dbb10c
116,Slesar Bros Brewing Co - Hingham Beer Works,18 Shipyard Dr Hingham MA 02043-1670,18 Shipyard Dr,Ste 1K,Hingham,MA,02043-1670,(781) 749-2337,Brewpub,,www.beerworks.net,Brewers Association,-70.922554,42.249794,beer,#dbb10c
117,Slesar Bros Brewing Co - Lowell Beer Works,203 Cabot St Lowell MA 01854,203 Cabot St,,Lowell,MA,01854,(978) 937-2337,Brewpub,,www.beerworks.net,Brewers Association,-71.316284,42.651016,beer,#dbb10c
118,Slesar Bros Brewing Co - Salem Beer Works,278 Derby St Salem MA 01970-3635,278 Derby St,,Salem,MA,01970-3635,(978) 745-2337,Brewpub,,www.beerworks.net,Brewers Association,-70.891182,42.520618,beer,#dbb10c
119,Somerville Brewing Company,1310 Broadway Somerville MA 02144-1836,1310 Broadway,Ste 200,Somerville,MA,02144-1836,(800) 428-1150,Contract,Brewed at Ipswich Ale Brewery,www.slumbrew.com,Brewers Association,-71.13163,42.405701,beer,#0c49db
120,Spencer Brewery,167 N Spencer Rd Spencer MA 01562-1232,167 N Spencer Rd,,Spencer,MA,01562-1232,(508) 885-8700,Micro,,www.spencerbrewery.com,Brewers Association,-72.00042,42.292061,beer,#07ce07
121,Stoneman Brewery,20 Stetson Brothers Rd Colrain MA 01340,20 Stetson Brothers Rd,,Colrain,MA,01340,(413) 624-5195,Micro,,www.stonemanbrewery.com,BCCA,-72.77742,42.703091,beer,#07ce07
122,The Tap Brewing Company,100 Washington St Haverhill MA 01832-5500,100 Washington St,,Haverhill,MA,01832-5500,(617) 835-8315,Brewpub,,www.tapbrewingcompany.com,Brewers Association,-71.085213,42.772678,beer,#dbb10c
123,Tree House Brewing Co,160 East Hill Rd Monson MA 01057,160 East Hill Rd,,Monson,MA,01057,(413) 949-1891,Micro,,www.treehousebrew.com,Brewers Association,-72.285301,42.09137,beer,#07ce07
124,Trillium Brewing,369 Congress St Boston MA 02210-1836,369 Congress St,,Boston,MA,02210-1836,,Micro,,www.trilliumbrewing.com,Brewers Association,-71.048042,42.349812,beer,#07ce07
125,Wachusett Brewing Co,175 State Rd E Westminster MA 01473-1208,175 State Rd E,,Westminster,MA,01473-1208,(978) 874-9965,Regional,,www.wachusettbrew.com,Brewers Association,-71.870773,42.558472,beer,#07ce07
126,Wandering Star Brewing Co,11 Gifford St Pittsfield MA 01201,11 Gifford St,,Pittsfield,MA,01201,(917) 573-3942,Micro,,www.wanderingstarbrewing.com,Brewers Association,-73.211456,42.456959,beer,#07ce07
127,Watch City Brewing Co,256 Moody St Waltham MA 02453-5303,256 Moody St,,Waltham,MA,02453-5303,(781) 647-4000,Brewpub,,www.watchcitybrew.com,Brewers Association,-71.23661,42.371807,beer,#dbb10c
128,Westfield River Brewing Co,79 Mainline Dr Westfield MA 01085,79 Mainline Dr,,Westfield,MA,01085,(413) 642-5945,Micro,,www.westfieldriverbrewing.com,Brewers Association,-72.731018,42.11002,beer,#07ce07
129,Whip City Brewing,287 N Elm St Westfield MA 01085,287 N Elm St,,Westfield,MA,01085,(413) 564-0149,Planning,,,Brewers Association,-72.73867,42.1371,beer,#db1e0c
130,Wormtown Brewing,455 Park Ave Worcester MA 01610-1226,455 Park Ave,,Worcester,MA,01610-1226,(774) 239-1555,Micro,,www.wormtownbrewery.com,Brewers Association,-71.82534,42.254372,beer,#07ce07
